"","id","Wikipedia_Link","Name","Country","Born","Dead","query","lat","lon","lat_min","lat_max","lon_min","lon_max"
"90",90,"https://en.wikipedia.org/wiki/Joseph_Plateau","Joseph Plateau ","Belgium",1801,1883,"Belgium",50.6402809,4.6667145,49.4969821,51.550781,2.3889137,6.408097
"91",91,"https://en.wikipedia.org/wiki/Carl_August_Steinheil","Carl August Steinheil ","Germany",1801,1870,"Germany",51.0834196,10.4234469,47.2701114,55.099161,5.8663153,15.0418087
"92",92,"https://en.wikipedia.org/wiki/Mikhail_Vasilievich_Ostrogradsky","Mikhail Vasilievich Ostrogradsky ","Russia",1801,1862,"Russia",64.6863136,97.7453061,41.1850968,82.0586232,-180,180
"93",93,"https://en.wikipedia.org/wiki/Christian_Doppler","Christian Doppler ","Austria",1803,1853,"Austria",47.2000338,13.199959,46.3722761,49.0205305,9.5307487,17.160776
"94",94,"https://en.wikipedia.org/wiki/Wilhelm_Eduard_Weber","Wilhelm Weber ","Germany",1804,1891,"Germany",51.0834196,10.4234469,47.2701114,55.099161,5.8663153,15.0418087
"95",95,"https://en.wikipedia.org/wiki/William_Rowan_Hamilton","William Rowan Hamilton ","Ireland",1805,1865,"Ireland",52.865196,-7.9794599,51.222,55.636,-11.0133788,-5.6582363
"96",96,"https://en.wikipedia.org/wiki/James_David_Forbes","James David Forbes ","United Kingdom",1809,1868,"United Kingdom",54.7023545,-3.2765753,47.2023545,62.2023545,-10.7765753,4.2234247
"97",97,"https://en.wikipedia.org/wiki/John_James_Waterston","John James Waterston ","United Kingdom",1811,1883,"United Kingdom",54.7023545,-3.2765753,47.2023545,62.2023545,-10.7765753,4.2234247
"98",98,"https://en.wikipedia.org/wiki/Karl_L._Littrow","Karl L. Littrow ","Austria",1811,1877,"Austria",47.2000338,13.199959,46.3722761,49.0205305,9.5307487,17.160776
"99",99,"https://en.wikipedia.org/wiki/Anders_Jonas_%C3%85ngstr%C3%B6m","Anders Jonas Ångström ","Sweden",1814,1874,"Sweden",59.6749712,14.5208584,55.1331192,69.0599699,10.5930952,24.1776819
"100",100,"https://en.wikipedia.org/wiki/Gustave-Adolphe_Hirn","Gustave-Adolphe Hirn ","France",1815,1890,"France",46.603354,1.8883335,-50.2187169,51.268318,-178.3873749,172.3057152
"101",101,"https://en.wikipedia.org/wiki/C.H.D._Buys_Ballot","Christophorus Buys Ballot ","Netherlands",1817,1890,"Netherlands",52.5001698,5.7480821,11.777,53.744025,-70.2695876,7.2274985
"102",102,"https://en.wikipedia.org/wiki/James_Prescott_Joule","James Prescott Joule ","United Kingdom",1818,1889,"United Kingdom",54.7023545,-3.2765753,47.2023545,62.2023545,-10.7765753,4.2234247
